Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
114175028689083,Juan José Jiménez Yáñez,Juan José Jiménez Yáñez,67394,63
456600308169797,Secretaría de Gobierno del Estado de Querétaro,GRUPO VALPI,67034,11
333932057250036,Alejandro Rojas Díaz Durán,PM,66633,15
664379213703876,Poncho Danao,Adrian de la Peña Villareal,66179,142
2052400901712207,Rolando Hervert Lara,Rolando Hervert Lara,65939,20
271327359622592,Sonia Mendoza (Oficial),Sonia Mendoza,65500,10
110297290562488,Felipe Maycotte Reyes,Partido Verde Ecologista de México,64961,34
396444003758482,Alcaldía Tlalpan,Alcaldía Tlalpan,64195,38
1976644152440072,Lili Campos,Lili Campos,64101,16
573481516387522,Likee español,These ads ran without a disclaimer,63617,1
334172203343040,Geraldine Ponce,Geraldine Ponce,63191,32
155905091696219,La Revelación,La Revelación,62771,50
100802831514881,Claudia Rodríguez,Partido Verde Ecologista de México,62610,20
1445209245537983,Ricardo Santillán,Comunicación Social del Gobierno de El Salto,62363,23
102557481586830,Alejandro Pérez Corzo,Alejandro Daniel Perez Corzo,62298,56
1015149698506340,Pedro Luis Coronado,Pedro Luis Coronado Ayarzagoitia,62168,183
171435049569865,Victor Hugo Romo de Vivar,Victor Hugo Romo Guerra,61571,64
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,60766,97
481174265396853,Toño García,Antonio García Conejo,60675,6
911575379048308,Gobierno de Montemorelos,Gobierno de Montemorelos,59838,88
682427185183797,De Política y Algo Más.,De Política y Algo Más.,59604,229
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,59283,32
401586323202696,Karina Barrón,Karina Barrón,59070,133
636636346991959,Noticias de Tamaulipas,Las Noticias Tamaulipas,59044,21
106931184276457,El Bajío,El Bajío,58877,85
260456434066296,Gerardo Vargas Landeros,Magdiel Leyva,57882,44
1510421322523622,Héctor Astudillo Flores,Gobierno de Guerrero MX,57830,71
101171214850717,Trabajando Avanzamos Mas,These ads ran without a disclaimer,57589,3
192366194179807,León Municipio,Ads Project Media,57036,21
1518145195110134,Daniel Gutiérrez Gutiérrez,Daniel Gutiérrez Gutiérrez,56758,39
950257431712751,México Desigual,Jesus Manuel Martinez Diaz,56498,4
1545555582174942,TResearch,TResearch,56391,82
280927511972014,La Orquesta,La Orquesta,56205,138
224050124385363,Gobierno de Mexicali,Gobierno de Mexicali,56116,32
728859823802211,Luis Donaldo Colosio Riojas,Luis Donaldo Colosio Riojas,55800,90
125906017491401,Arturo Nahle García,Zenda CG,55752,59
245685942538080,VOTA Querétaro,VOTA Querétaro,54790,103
153118154700641,Claudia Pavlovich,Gobierno del Estado de Sonora,54331,16
1052285921496726,Decide Centro,ALAgencia,53800,10
